frame_number,predicted_label,ground_truth_label,template_matching_score
150,1,,0.9212120771408081
151,1,,0.9232180714607239
152,1,,0.9252744913101196
153,2,,0.9374555945396423
154,2,,0.9459906220436096
155,2,,0.9484623074531555
156,2,,0.9507342576980591
157,3,,0.9575523734092712
158,3,,0.9583152532577515
159,3,,0.956572949886322
160,4,,0.9490262269973755
161,4,,0.9228985905647278
162,4,,0.9238343834877014
163,5,,0.9298025965690613
164,5,,0.9275423884391785
165,5,,0.9251688122749329
166,5,,0.9252331256866455
167,5,,0.927371621131897
168,5,,0.9297897219657898
169,5,,0.9270056486129761
170,5,,0.9217308759689331
171,5,,0.9244158267974854
172,4,,0.9025135040283203
173,4,,0.9069981575012207
174,4,,0.9127364158630371
175,3,,0.8993027210235596
176,3,,0.9275265336036682
177,3,,0.9322466850280762
178,3,,0.9338773488998413
179,3,,0.9265549182891846
