frame_number,predicted_label,ground_truth_label,template_matching_score
150,3,3,0.9086900949478149
151,3,3,0.9043552279472351
152,3,3,0.9021071791648865
153,3,3,0.8988162279129028
154,3,3,0.8981310725212097
155,3,3,0.897968590259552
156,3,3,0.8976646065711975
157,3,3,0.8968343138694763
158,3,3,0.8988344073295593
159,3,3,0.9018018841743469
160,3,3,0.9033581018447876
161,3,3,0.9036698341369629
162,3,3,0.9014335870742798
163,3,3,0.9026370048522949
164,3,3,0.9015659689903259
165,3,3,0.9039596915245056
166,3,3,0.9066869616508484
167,3,3,0.9049957394599915
168,3,3,0.9036697149276733
169,3,3,0.9051154851913452
