frame_number,predicted_label,ground_truth_label,template_matching_score
150,1,1,0.946965217590332
151,1,1,0.9465372562408447
152,1,1,0.9428126215934753
153,1,1,0.941290020942688
154,1,1,0.9434236884117126
155,1,1,0.9416330456733704
156,1,1,0.9454106092453003
157,1,1,0.9471296668052673
158,1,1,0.9460486769676208
159,1,1,0.9453531503677368
160,1,1,0.9442989230155945
161,1,1,0.9469179511070251
162,1,1,0.94737309217453
163,1,1,0.940593421459198
164,1,1,0.938930869102478
165,1,1,0.9408677816390991
166,1,1,0.9419384002685547
167,1,1,0.9404233694076538
168,1,1,0.9425460696220398
169,1,1,0.940736711025238
