frame_number,predicted_label,ground_truth_label,template_matching_score
150,2,2,0.9277647137641907
151,2,2,0.9254902005195618
152,2,2,0.9232337474822998
153,2,2,0.9215474128723145
154,2,2,0.9250249266624451
155,2,2,0.9214590787887573
156,2,2,0.9244898557662964
157,2,2,0.9207053780555725
158,2,2,0.9208253622055054
159,2,2,0.9189296364784241
160,2,2,0.9189122319221497
161,2,2,0.924133837223053
162,2,2,0.9243767857551575
163,2,2,0.9249004125595093
164,2,2,0.923328697681427
165,2,2,0.9224101901054382
166,2,2,0.926044225692749
167,2,2,0.9251875281333923
168,2,2,0.9273920059204102
169,2,2,0.9220924377441406
