frame_number,predicted_label,ground_truth_label,template_matching_score
150,5,5,0.9396477341651917
151,5,5,0.9367879629135132
152,5,5,0.9495949745178223
153,5,5,0.950387179851532
154,5,5,0.951828122138977
155,5,5,0.9504875540733337
156,5,5,0.9525118470191956
157,5,5,0.9528130888938904
158,5,5,0.9536254405975342
159,5,5,0.9526487588882446
160,5,5,0.9520443677902222
161,5,5,0.9527838826179504
162,5,5,0.949996292591095
163,5,5,0.9344971776008606
164,5,5,0.9496408104896545
165,5,5,0.9511301517486572
166,5,5,0.9471300840377808
167,5,5,0.9495834708213806
168,5,5,0.9486796259880066
169,5,5,0.9493196606636047
